iter	Passed	Remaining
0	1	186
1	3	154
2	4	141
3	5	129
4	6	126
5	7	123
6	9	121
7	10	119
8	11	117
9	13	119
10	15	122
11	16	120
12	17	118
13	19	117
14	20	114
15	21	113
16	22	110
17	23	109
18	25	107
19	26	105
20	28	105
21	29	105
22	30	103
23	32	102
24	33	100
25	34	99
26	36	97
27	37	96
28	38	94
29	39	93
30	41	91
31	42	89
32	43	88
33	44	86
34	46	87
35	48	85
36	49	84
37	50	83
38	52	81
39	53	80
40	54	78
41	55	75
42	56	74
43	57	73
44	58	71
45	59	70
46	60	68
47	62	67
48	64	66
49	65	65
50	66	64
51	68	62
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	79	48
62	81	48
63	83	46
64	84	45
65	85	44
66	87	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	34
73	95	33
74	96	32
75	98	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	110	19
85	111	18
86	112	16
87	113	15
88	115	14
89	117	13
90	118	11
91	120	10
92	121	9
93	122	7
94	124	6
95	125	5
96	126	3
97	127	2
98	128	1
99	130	0
