iter	Passed	Remaining
0	1	1768
1	4	2087
2	5	1966
3	9	2373
4	10	2186
5	12	2016
6	13	1897
7	14	1809
8	15	1747
9	17	1687
10	18	1636
11	20	1683
12	22	1682
13	25	1776
14	26	1762
15	28	1726
16	29	1705
17	30	1689
18	32	1661
19	33	1635
20	34	1612
21	35	1595
22	39	1690
23	41	1671
24	42	1649
25	43	1629
26	44	1611
27	45	1592
28	47	1574
29	48	1559
30	49	1544
31	50	1530
32	51	1518
33	54	1543
34	56	1548
35	57	1549
36	59	1537
37	60	1524
38	61	1513
39	62	1502
40	63	1492
41	65	1482
42	66	1472
43	68	1486
44	69	1478
45	72	1511
46	74	1510
47	75	1503
48	77	1495
49	78	1486
50	79	1478
51	80	1469
52	82	1482
53	84	1475
54	85	1471
55	86	1463
56	88	1457
57	90	1466
58	91	1464
59	93	1460
60	94	1454
61	95	1448
62	98	1458
63	99	1460
64	101	1455
65	102	1449
66	103	1444
67	104	1438
68	106	1438
69	108	1439
70	109	1437
71	112	1447
72	113	1445
73	115	1442
74	116	1438
75	118	1437
76	119	1432
77	120	1426
78	121	1420
79	123	1415
80	125	1421
81	128	1437
82	129	1426
83	130	1421
84	131	1417
85	132	1412
86	134	1407
87	135	1403
88	136	1398
89	137	1394
90	139	1389
91	140	1388
92	143	1397
93	144	1395
94	146	1394
95	147	1390
96	148	1385
97	150	1381
98	151	1376
99	152	1372
100	153	1368
101	155	1368
102	156	1366
103	158	1364
104	160	1369
105	162	1370
106	163	1367
107	165	1363
108	166	1359
109	167	1356
110	168	1351
111	171	1356
112	172	1354
113	174	1353
114	175	1350
115	177	1354
116	179	1351
117	180	1349
118	181	1346
119	183	1342
120	184	1341
121	186	1340
122	187	1337
123	188	1333
124	189	1329
125	191	1326
126	192	1321
127	194	1322
128	196	1323
129	197	1323
130	200	1328
131	201	1327
132	203	1325
133	204	1323
134	206	1322
135	207	1320
136	209	1316
137	211	1320
138	213	1321
139	214	1320
140	216	1317
141	217	1312
142	218	1309
143	219	1307
144	221	1304
145	222	1301
146	223	1298
147	225	1295
148	226	1292
149	230	1306
150	231	1304
151	233	1302
152	234	1299
153	236	1296
154	237	1293
155	238	1291
156	239	1288
157	241	1285
158	242	1283
159	245	1286
160	246	1284
161	248	1284
162	249	1281
163	250	1278
164	252	1275
165	253	1272
166	254	1269
167	255	1267
168	257	1266
169	259	1266
170	260	1263
171	263	1266
172	264	1264
173	266	1263
174	267	1260
175	268	1257
176	269	1255
177	271	1252
178	273	1255
179	274	1252
180	276	1250
181	277	1247
182	278	1245
183	281	1247
184	283	1247
185	284	1245
186	285	1242
187	288	1245
188	290	1245
189	291	1243
190	293	1241
191	294	1240
192	296	1238
193	298	1240
194	300	1241
195	302	1241
196	305	1244
197	307	1243
198	308	1241
199	309	1238
200	310	1235
201	312	1232
202	313	1230
203	314	1228
204	318	1235
205	319	1233
206	321	1230
207	322	1228
208	323	1225
209	324	1222
210	326	1219
211	327	1217
212	328	1214
213	329	1211
214	333	1216
215	334	1215
216	336	1213
217	337	1211
218	338	1208
219	340	1205
220	341	1203
221	342	1200
222	343	1198
223	345	1196
224	347	1197
225	350	1198
226	351	1198
227	353	1196
228	354	1193
229	355	1191
230	357	1189
231	358	1186
232	360	1185
233	363	1188
234	364	1186
235	365	1184
236	367	1184
237	369	1183
238	370	1181
239	372	1178
240	373	1177
241	375	1174
242	377	1175
243	379	1174
244	380	1172
245	382	1170
246	384	1171
247	385	1169
248	387	1168
249	388	1166
250	390	1164
251	392	1164
252	393	1162
253	394	1159
254	396	1158
255	397	1155
256	399	1153
257	400	1152
258	402	1151
259	404	1150
260	406	1151
261	408	1149
262	409	1147
263	410	1145
264	412	1142
265	413	1140
266	414	1138
267	415	1135
268	417	1133
269	419	1133
270	422	1136
271	424	1134
272	425	1132
273	426	1130
274	428	1128
275	429	1126
276	430	1124
277	432	1122
278	433	1120
279	436	1122
280	438	1122
281	439	1120
282	441	1117
283	442	1115
284	443	1113
285	445	1111
286	446	1108
287	447	1106
288	448	1104
289	451	1105
290	453	1104
291	454	1103
292	456	1101
293	458	1099
294	459	1097
295	460	1095
296	462	1093
297	463	1091
298	466	1092
299	467	1090
300	468	1088
301	469	1086
302	472	1086
303	474	1085
304	475	1083
305	476	1081
306	478	1079
307	480	1080
308	482	1078
309	483	1076
310	485	1074
311	486	1073
312	488	1071
313	490	1070
314	491	1069
315	493	1067
316	495	1067
317	496	1065
318	498	1063
319	499	1062
320	501	1059
321	502	1057
322	503	1055
323	505	1054
324	507	1053
325	510	1054
326	511	1052
327	512	1050
328	514	1048
329	515	1046
330	516	1044
331	518	1042
332	519	1040
333	520	1038
334	522	1036
335	526	1039
336	527	1037
337	528	1035
338	530	1033
339	531	1031
340	532	1029
341	533	1027
342	535	1024
343	536	1022
344	537	1020
345	540	1022
346	542	1021
347	544	1019
348	545	1017
349	546	1015
350	548	1013
351	549	1011
352	550	1009
353	551	1007
354	554	1006
355	555	1005
356	557	1004
357	559	1004
358	561	1002
359	562	1000
360	563	998
361	565	996
362	567	995
363	570	996
364	572	995
365	573	994
366	577	995
367	578	994
368	580	992
369	581	990
370	583	988
371	584	987
372	586	985
373	587	983
374	588	981
375	590	979
376	591	977
377	593	977
378	595	975
379	597	974
380	599	973
381	600	971
382	601	969
383	603	967
384	604	965
385	605	963
386	607	961
387	608	959
388	610	959
389	614	960
390	615	958
391	616	956
392	618	954
393	619	953
394	621	951
395	622	949
396	623	947
397	624	945
398	626	943
399	631	947
400	633	946
401	635	944
402	636	942
403	638	941
404	639	939
405	640	937
406	643	937
407	646	938
408	648	937
409	651	937
410	653	936
411	655	935
412	658	936
413	661	936
414	663	935
415	666	935
416	668	934
417	669	932
418	670	929
419	672	928
420	675	929
421	676	927
422	678	925
423	680	924
424	682	923
425	684	922
426	685	920
427	688	919
428	689	918
429	691	917
430	693	915
431	694	913
432	696	912
433	698	910
434	700	909
435	703	910
436	705	908
437	706	906
438	707	904
439	709	902
440	710	901
441	712	899
442	714	898
443	717	898
444	718	896
445	720	894
446	722	893
447	723	891
448	724	889
449	726	887
450	727	886
451	729	884
452	733	885
453	735	884
454	737	883
455	738	881
456	740	879
457	741	877
458	742	875
459	744	873
460	747	873
461	749	872
462	751	871
463	753	870
464	755	869
465	756	867
466	758	865
467	759	863
468	762	863
469	764	861
470	765	859
471	767	858
472	768	856
473	770	855
474	771	853
475	773	851
476	775	849
477	777	848
478	778	846
479	780	845
480	781	843
481	782	841
482	784	839
483	786	838
484	788	837
485	791	837
486	792	835
487	794	833
488	795	831
489	796	829
490	798	827
491	800	826
492	801	824
493	803	823
494	807	823
495	808	822
496	810	820
497	811	818
498	813	816
499	814	814
500	815	812
501	817	810
502	818	808
503	821	808
504	823	807
505	825	805
506	826	803
507	827	801
508	828	799
509	830	797
510	831	795
511	832	793
512	835	793
513	837	791
514	839	790
515	841	789
516	842	787
517	844	785
518	845	783
519	846	781
520	848	779
521	851	779
522	853	778
523	854	776
524	860	778
525	862	777
526	867	778
527	869	777
528	870	775
529	872	773
530	877	775
531	879	773
532	882	773
533	884	771
534	886	770
535	887	768
536	889	766
537	890	765
538	893	764
539	897	764
540	898	762
541	900	761
542	902	759
543	903	757
544	905	755
545	907	754
546	909	753
547	911	751
548	913	750
549	914	748
550	916	746
551	918	745
552	919	743
553	923	743
554	926	742
555	927	740
556	929	739
557	931	737
558	932	735
559	933	733
560	935	732
561	937	730
562	939	729
563	942	728
564	944	727
565	946	725
566	947	723
567	948	721
568	950	719
569	952	718
570	954	716
571	955	714
572	956	713
573	958	711
574	960	709
575	962	708
576	963	706
577	964	704
578	967	703
579	968	701
580	970	699
581	971	697
582	972	695
583	974	694
584	976	692
585	978	690
586	979	689
587	981	687
588	983	686
589	984	684
590	986	682
591	987	680
592	988	678
593	990	676
594	991	674
595	992	673
596	997	673
597	999	671
598	1000	669
599	1002	668
600	1003	666
601	1005	664
602	1006	662
603	1007	660
604	1009	658
605	1014	659
606	1016	657
607	1017	656
608	1019	654
609	1020	652
610	1022	651
611	1023	649
612	1025	647
613	1029	647
614	1031	645
615	1033	644
616	1035	642
617	1036	640
